ACTION_NAME,TIMESTAMP
Show all tournaments,2025-05-27T18:15:42.899396200
Create a tournament,2025-05-27T18:15:58.660942200
Show all tournaments,2025-05-27T18:16:00.867853900
Show all players,2025-05-27T18:16:22.549442900
Show all organizers,2025-05-27T18:16:31.979075700
Show all arbiters,2025-05-27T18:16:42.614595500
Exit App,2025-05-27T18:16:46.853616200
Show all people,2025-05-27T18:19:10.846163800
Create an organizer,2025-05-27T18:19:37.675446100
Show all organizers,2025-05-27T18:19:41.885809800
Exit App,2025-05-27T18:19:54.917842600
